,Country,Top_Genre,Top_Anime,Avg_Age,User_Num,Male_Ratio,Female_Ratio,Top_Anime_Male,Top_Anime_Female,Image_URL_Male,Image_URL_Female
0,Afghanistan,"Action, Adventure, Fantasy",Bleach,1988.015873015873,2,1.0,0.0,Bleach,,https://cdn.myanimelist.net/images/anime/3/40451.jpg,
1,Albania,"Action, Drama",Sen to Chihiro no Kamikakushi,1996.8082191780823,2,0.03,0.97,Sen to Chihiro no Kamikakushi,Ao no Exorcist,https://cdn.myanimelist.net/images/anime/6/79597.jpg,https://cdn.myanimelist.net/images/anime/10/75195.jpg
2,Algeria,"Action, Adventure, Fantasy",Death Note,1986.2731182795699,10,0.49,0.51,Death Note,Ao Haru Ride,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/8/64813.jpg
3,Angola,"Comedy, Romance",Elfen Lied,1991.7738095238096,3,0.2,0.8,Angel Beats!,Azumanga Daiou The Animation,https://cdn.myanimelist.net/images/anime/1244/111115.jpg,https://cdn.myanimelist.net/images/anime/1066/117358.jpg
4,Antarctica,"Comedy, Romance",Angel Beats!,1994.6890510948906,12,0.51,0.49,Angel Beats!,Death Note,https://cdn.myanimelist.net/images/anime/1244/111115.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
5,Argentina,Comedy,Death Note,1988.849226317776,197,0.72,0.28,Death Note,Cardcaptor Sakura,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/8/60781.jpg
6,Armenia,"Action, Adventure, Fantasy",Akira,1989.0,1,1.0,0.0,Akira,,https://cdn.myanimelist.net/images/anime/1408/114012.jpg,
7,Australia,"Action, Adventure, Fantasy",Death Note,1991.4588332604437,883,0.73,0.26,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
8,Austria,"Action, Adventure, Fantasy",Death Note,1990.3598072225523,121,0.73,0.27,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
9,Azerbaijan,"Action, Adventure, Fantasy",Death Note,1991.2671532846716,5,0.41,0.59,Gantz,Byousoku 5 Centimeter,https://cdn.myanimelist.net/images/anime/13/5998.jpg,https://cdn.myanimelist.net/images/anime/1410/112994.jpg
10,Bahamas,"Action, Adventure, Fantasy",Black Lagoon: The Second Barrage,1992.0,5,0.28,0.72,11eyes,Black Lagoon: The Second Barrage,https://cdn.myanimelist.net/images/anime/6/73520.jpg,https://cdn.myanimelist.net/images/anime/3/83748.jpg
11,Bangladesh,"Action, Adventure, Fantasy",Death Note,1991.5016029593096,34,0.73,0.27,Fullmetal Alchemist: Brotherhood,Byousoku 5 Centimeter,https://cdn.myanimelist.net/images/anime/1208/94745.jpg,https://cdn.myanimelist.net/images/anime/1410/112994.jpg
12,Belarus,Comedy,Death Note,1991.3295273330357,78,0.71,0.29,Code Geass: Hangyaku no Lelouch,Death Note,https://cdn.myanimelist.net/images/anime/1032/135088.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
13,Belgium,"Action, Adventure, Fantasy",Death Note,1989.3950135030864,340,0.72,0.28,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
14,Belize,"Action, Adventure, Fantasy",Air,1994.0,1,1.0,0.0,Air,,https://cdn.myanimelist.net/images/anime/8/22059.jpg,
15,Bhutan,"Action, Adventure, Fantasy",Bokura ga Ita,1994.0,1,0.0,1.0,,Bokura ga Ita,,https://cdn.myanimelist.net/images/anime/12/25754.jpg
16,Bolivia,"Action, Adventure, Fantasy",Fullmetal Alchemist: Brotherhood,1986.259192825112,9,1.0,0.0,Fullmetal Alchemist: Brotherhood,,https://cdn.myanimelist.net/images/anime/1208/94745.jpg,
17,Brazil,"Action, Adventure, Fantasy",Death Note,1991.658738569293,2261,0.69,0.3,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
18,Brunei,"Comedy, Romance",Angel Beats!,1990.122468659595,16,0.65,0.35,Angel Beats!,Kaichou wa Maid-sama!,https://cdn.myanimelist.net/images/anime/1244/111115.jpg,https://cdn.myanimelist.net/images/anime/6/25254.jpg
19,Bulgaria,"Action, Adventure, Fantasy",Death Note,1991.1881396046535,252,0.57,0.43,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
20,Canada,"Action, Adventure, Fantasy",Death Note,1990.5509120643082,2045,0.68,0.31,Death Note,Ouran Koukou Host Club,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/2/71992.jpg
21,Chile,Comedy,Death Note,1990.4541401479662,221,0.7,0.28,Death Note,Cardcaptor Sakura,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/8/60781.jpg
22,China,"Action, Adventure, Fantasy",Code Geass: Hangyaku no Lelouch R2,1990.936604836816,79,0.81,0.19,Code Geass: Hangyaku no Lelouch R2,Ouran Koukou Host Club,https://cdn.myanimelist.net/images/anime/1088/135089.jpg,https://cdn.myanimelist.net/images/anime/2/71992.jpg
